Common Name,Link,Scientific Name,Classification,Order,Family,Temperament,Level,Diet,PH,GH,Temp,Size,Continent,X,Y,Z,Nearest Neighbors 1,Nearest Neighbors 2,Nearest Neighbors 3,Nearest Neighbors 4,Nearest Neighbors 5
Celebes Rainbowfish,/species-spotlight/celebes-rainbowfish/,Marosatherinaladigesi,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,7.5,17.5,25.0,8.0,AS,2.702141,5.047175,-1.1097119,Ornate Rainbowfish,Lake Tebera Rainbowfish,Lake Kutubu Rainbowfish,Banded Rainbowfish,Kamaka Rainbowfish
Celestial Pearl Danio,/species-spotlight/celestial-pearl-danio/,Daniomargaritatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,9.0,22.8,2.5,AS,-7.1771398,5.856886,1.3972883,Rummy Nose Rasbora,Rose Danio,Blue Danio,Emerald Eye Rasbora,Harlequin Rasbora
Cenepa Red Pencilfish,/species-spotlight/cenepa-red-pencilfish/,Nannstomussp,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,5.5,6.5,25.85,3.5,SA,13.200779,0.9848839,-1.6801615,Coral Red Pencilfish,Purple Pencilfish,Dwarf Pencilfish,Barred Pencilfish,Three Lined Pencilfish
Checker Barb,/species-spotlight/checker-barb/,Oliotiusoligolepis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,6.0,5.5,21.95,5.0,SA,-10.420493,4.132635,-2.1513448,Butterfly Barb,Nijssens Corydoras,Jae Barb,Twosaddle Corydoras,Sands Corydoras
Checkerboard Cichlid,/species-spotlight/checkerboard-cichlid/,Dicrossusfilamentosus,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Middle,Omnivore,5.5,4.5,28.6,10.0,SA,-8.011037,1.7416794,-2.9839375,Banded Apistogramma,Blue Panda Apistogramma,Redline Apistogramma,Macmasters Apistogramma,Electric Blue Ram Cichlid
Cherry Barb,/species-spotlight/cherry-barb/,Puntiustitteya,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.35,12.0,23.9,5.0,AS,-6.624539,3.5988593,2.5949402,Leopard Danio,Golden Dwarf Barb,Lined Barb,Hikari Danio,Lipstick Barb
Chilli Rasbora,/species-spotlight/chilli-rasbora/,BorarasBrigittae,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.0,5.5,25.55,2.0,AS,-8.207753,6.9012265,-1.1529616,Neon Green Rasbora,Siamese Dwarf Rasbora,Fire Rasbora,Neon Blue Rasbora,Dwarf Rasbora
Chinese Barb,/species-spotlight/chinese-barb/,Barbodessemifasciolatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.0,5.5,20.85,7.5,AS,-4.414399,3.5386636,-1.3735782,Gold Barb,European Bitterling,Glowlight Danio,Tiger Barb,Narayan Barb
Chinese High Fin Banded Shark,/species-spotlight/chinese-high-fin-banded-shark/,MyxocyprinusAsiaticus,Actinopterygii,Cypriniformes,Catostomidae,Peaceful,Bottom,Omnivore,7.0,12.0,23.05,43.0,AS,0.678428,-5.5475483,-0.16260631,Royal Plecostomus,Leopard Sailfin Plecostomus,Giant Red Tail Gourami,Giant Gourami,Pink Tail Chalceus
Chinese Hillstream Loach,/species-spotlight/chinese-hillstream-loach/,Pseudogastromyzoncheni,Actinopterygii,Cypriniformes,Balitoridae,Peaceful,Bottom,Omnivore,7.5,10.0,21.95,6.0,AS,6.985364,-4.3122964,1.0763603,Hillstream Loach,Spotfin Hatchetfish,Common Hatchetfish,Marbled Hatchetfish,Upside Down Catfish
Chinese Neon Golden Stripe Shark,/species-spotlight/chinese-neon-golden-stripe-shark/,Sarcocheilichthysparvus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.0,8.5,25.3,7.0,AS,-6.8984995,2.756492,-0.949618,African Butterfly Cichlid,Odessa Barb,Panda Garra,Pentazona Barb,Laos Danio
Chocolate Gourami,/species-spotlight/chocolate-gourami/,Sphaerichthysosphromenoides,Actinopterygii,Anabantiformes,Osphronemidae,Semi-Aggressive,Middle - Top,Omnivore,5.0,3.25,26.95,6.0,AS,8.720406,-7.290697,-0.6735202,Toba Betta,Red Skirt Betta,Licorice Gourami,Emerald Betta,Golden Malili Goby
Chocolate Shrimp,/species-spotlight/chocolate-shrimp/,NeocaridinaDavidi,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,7.0,9.0,23.35,4.0,AS,-5.1723027,9.022344,0.0950067,Red Nose Shrimp,Ninja Shrimp,Green Babaulti Shrimp,Red Rili Shrimp,Black Rose Shrimp
Christys Killifish,/species-spotlight/christys-killifish/,Aphyosemionchristyi,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Middle - Top,Omnivore,7.0,10.0,24.15,6.0,AF,8.214815,-4.044987,-1.0933039,Gabon Killifish,Splendid Killifish,Red Chinned Panchax,Mamou Killifish,Eggers Killifish
Clown Barb,/species-spotlight/clown-barb/,"Barbodeseveretti,Puntiuseveretti,Barbodesdunckeri",Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,All Levels,Omnivore,6.75,10.0,26.95,15.0,AS,-3.5870748,-1.6749096,0.08947656,Flag Cichlid,Convict Cichlid,Rainbow Cichlid,Spanner Barb,Jewel Cichlid
Clown Killifish,/species-spotlight/clown-killifish/,Epiplatysannulatus,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Top,Omnivore,5.5,2.5,23.05,3.5,AF,11.52821,-3.5332322,-0.3411777,Blue Striped Rivulus Killifish,Blueberry Tetra,Black Neon Tetra,Flameback Bleeding Heart Tetra,Lemon Tetra
Clown Loach,/species-spotlight/clown-loach/,Chromobotiamacracanthus,Actinopterygii,Cypriniformes,Botiidae,Peaceful,Bottom,Omnivore,6.25,8.0,25.55,15.0,AS,3.9962075,-2.9783695,-0.19315669,Yoyo Loach,Snowball Plecostomus L102,Butterfly Plecostomus L168,Polka Dot Loach,Blue Botia
Clown Rasbora,/species-spotlight/clown-rasbora/,Rasborakalochroma,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,All Levels,Omnivore,6.25,6.0,25.3,10.0,AS,-5.3949523,1.2150911,-1.9567286,Sidestripe Rasbora,Striped Barb,Panda Garra,Pentazona Barb,Rohani Barb
Cochus Blue Tetra,/species-spotlight/cochus-blue-tetra/,Boehlkeafredcochui,Actinopterygii,Characiformes,Characidae,Peaceful,All Levels,Omnivore,6.75,10.0,24.2,5.5,SA,8.005128,1.461384,-0.34073803,Red Base Tetra,Imperial Tetra,Bleeding Blue Tetra,Infernal Tetra,Blackline Tail Tetra
Cockatoo Dwarf Cichlid,/species-spotlight/cockatoo-dwarf-cichlid/,Apistogrammacacatuoides,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Middle,Omnivore,7.0,12.0,25.55,10.0,SA,-7.2871165,-0.25167695,0.63705635,Kribensis Cichlid,Electric Yellow Cichlid,Giant Danio,African Glass Catfish,Blue Eyed Congo Tetra
Coffee Bean Tetra,/species-spotlight/coffee-bean-tetra/,Hyphessobrycontakasei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,17.5,25.85,4.0,SA,4.6505723,2.8292081,1.326682,Serpae Tetra,Copei Tetra,Black Line Tetra,Buenos Aires Tetra,Fire Green Tetra
Colombian Redfin Tetra,/species-spotlight/colombian-redfin-tetra/,Hyphessobryconcolumbianus,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,10.5,25.3,6.5,SA,6.867309,0.5182581,0.57608545,Penguin Tetra,Infernal Tetra,Xingu Black Neon Tetra,Imperial Tetra,Blackline Tail Tetra
Common Hatchetfish,/species-spotlight/common-hatchetfish/,Gasteropelecussternicla,Actinopterygii,Characiformes,Gasteropelecidae,Peaceful,Top,Omnivore,6.5,8.5,25.0,6.5,SA,6.8655934,-4.9634814,2.3798625,Spotfin Hatchetfish,Marbled Hatchetfish,Domino Tetra,Upside Down Catfish,Chinese Hillstream Loach
Common Otocinclus,/species-spotlight/common-otocinclus/,Otocinclusvittatus,Actinopterygii,Siluriformes,Loricariidae,Peaceful,Bottom,Herbivore,6.5,9.0,23.6,4.0,SA,8.370729,-2.6357522,2.2267916,Tiger Otocinclus,Dwarf Chain Loach,Diamond Tetra,Chinese Hillstream Loach,Hillstream Loach
Concolour Corydoras,/species-spotlight/concolour-corydoras/,Corydorasconcolor,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,10.0,25.0,6.0,SA,-13.235039,0.16815914,-1.9537851,Desana Corydoras,Bronze Corydoras,Albino Corydoras,Black Diamond Corydoras CW49,Fulleri Corydoras
Congo Ctenopoma,/species-spotlight/congo-ctenopoma/,Ctenopomacongicum,Actinopterygii,Anabantiformes,Anabantidae,Peaceful,Bottom - Middle,Carnivore,6.5,14.0,25.0,6.5,AF,6.6546874,-9.115078,-1.6163069,Ornate Ctenopoma,Paradise Fish,Siamese Fighting Fish,Snakehead Betta,Daisys Blue Ricefish
Congo Tetra,/species-spotlight/congo-tetra/,Phenacogrammusinterruptus,Actinopterygii,Characiformes,Alestidae,Peaceful,Middle - Top,Omnivore,6.7,11.0,25.55,6.0,AF,-7.2017293,1.8331933,1.7493069,African Red Eyed Tetra,Transvestite Dwarf Cichlid,Barred Danio,Gold Striped Danio,Redfin Congo Tetra
Convict Cichlid,/species-spotlight/convict-cichlid/,Amatitlanianigrofasciata,Actinopterygii,Cichliformes,Cichlidae,Aggressive,All Levels,Omnivore,7.0,7.0,27.5,15.0,NAM,-2.72819,-1.6475784,0.22062892,Flag Cichlid,Clown Barb,Apple Snail,Rainbow Cichlid,Electric Blue Jack Dempsey
Copei Tetra,/species-spotlight/copei-tetra/,Moenkhausiacopei,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,15.0,24.0,6.0,SA,5.1275845,2.4243171,0.8092388,Serpae Tetra,Fire Green Tetra,Black Line Tetra,Coffee Bean Tetra,Buenos Aires Tetra
Coral Red Pencilfish,/species-spotlight/coral-red-pencilfish/,Nannostomusmortenthaleri,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,5.5,6.5,26.0,3.5,SA,13.219943,0.9746572,-1.6587554,Cenepa Red Pencilfish,Purple Pencilfish,Dwarf Pencilfish,Barred Pencilfish,Three Lined Pencilfish
Costello Tetra,/species-spotlight/costello-tetra/,Hemigrammushyanuary,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,8.5,25.0,4.0,SA,9.840263,0.65543896,0.85035783,Flame Tetra,Phoenix Tetra,Kitty Tetra,Rummy Nose Tetra,Broken Line Tetra
Crystal Black Shrimp,/species-spotlight/crystal-black-shrimp/,CaridinaCantonensis,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,6.75,5.0,20.55,3.0,AS,-5.995429,9.35918,1.9508752,Crystal Black Shrimp,Super Crystal Red Shrimp,Shadow Panda Shrimp,Gold Nebula Shrimp,Green Jade Shrimp
Crystal Red Shrimp,/species-spotlight/crystal-red-shrimp/,CaridinaCantonensis,Malacostraca,Decapoda,Atyidae,Peaceful,All Levels,Omnivore,6.75,5.0,20.55,3.0,AS,-5.995429,9.35918,1.9508752,Crystal Black Shrimp,Super Crystal Red Shrimp,Shadow Panda Shrimp,Gold Nebula Shrimp,Green Jade Shrimp
Cuckoo Catfish,/species-spotlight/cuckoo-catfish/,Synodontismultipunctatus,Actinopterygii,Siluriformes,Mochokidae,Peaceful,Bottom - Middle,Omnivore,8.0,25.0,25.25,27.5,AF,2.7045937,-5.8448257,-1.0232279,Marble Sturisoma Whiptail Catfish,Gold Nugget Plecostomus,Titanic Plecostomus,Chinese High Fin Banded Shark,Royal Whiptail Catfish
Daisys Blue Ricefish,/species-spotlight/daisys-blue-ricefish/,Oryziaswoworae,Actinopterygii,Beloniformes,Adrianichthyidae,Peaceful,Middle - Top,Omnivore,6.75,14.0,24.0,3.0,AS,7.065533,-9.7016735,-1.159513,Platinum Medaka Ricefish,Dwarf Pufferfish,Congo Ctenopoma,Sparkling Gourami,Snakehead Betta
Darter Corydoras,/species-spotlight/darter-corydoras/,Corydorassp.CW153,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom - Middle,Omnivore,6.75,13.5,23.5,3.5,SA,-13.433596,-1.7884258,2.6385798,Pygmy Corydoras,Tail Spot Pygmy Corydoras,Salt and Pepper Corydoras,Guapore Corydoras,Smudge Spot Corydoras
Dawn Tetra,/species-spotlight/dawn-tetra/,Aphyocharaxparaguayensis,Actinopterygii,Characiformes,Characidae,Semi-Aggressive,Middle,Omnivore,6.5,10.0,25.0,4.5,SA,8.314606,0.7798604,1.7707283,Raccoon Tetra,Pink Lemon Tetra,Bleeding Blue Tetra,Flag Tetra,Glowlight Tetra
Delphax Corydoras,/species-spotlight/delphax-corydoras/,CorydorasDelphax,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,7.0,24.2,6.0,SA,-12.250449,2.2676919,-2.5163326,Palespotted Corydoras,Skunk Corydoras,Twosaddle Corydoras,Gold Laser Corydoras,Sands Corydoras
Denison Barb,/species-spotlight/denison-barb/,Sahyadriadenisonii,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.25,15.0,22.5,15.0,AS,-5.370573,-3.1732395,-0.3828456,Rainbow Shark,Red Tailed Black Shark,Siamese Algae Eater,Swamp Barb,Marliers Julie
Desana Corydoras,/species-spotlight/desana-corydoras/,Corydorasdesana,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.75,10.0,24.45,6.5,SA,-12.889641,0.15137665,-1.7756763,Concolour Corydoras,Albino Corydoras,Bronze Corydoras,Fulleri Corydoras,Green Laser Corydoras
Diamond Tetra,/species-spotlight/diamond-tetra/,Moenkhausiapittieri,Actinopterygii,Characiformes,Characidae,Peaceful,Bottom - Middle,Omnivore,6.5,8.5,25.85,6.0,SA,8.069693,-1.0210037,0.5874403,Kogal Blue Eyed Tetra,Red Laser Tetra,Lipstick Tetra,Glowlight Tetra,Broken Line Tetra
Discus,/species-spotlight/discus/,"Symphysodonaequifasciatus,Symphysodondiscus,Symphysodon",Actinopterygii,Cichliformes,Cichlidae,Peaceful,All Levels,Carnivore,6.0,12.5,28.05,25.0,SA,-2.0360754,-3.070048,-0.46070093,Electric Blue Jack Dempsey,Rainbow Cichlid,Tinfoil Barb,Bala Shark,Flag Cichlid
Domino Tetra,/species-spotlight/domino-tetra/,Neolebiaspowelli,Actinopterygii,Characiformes,Distichodontidae,Peaceful,Middle - Top,Omnivore,6.5,12.5,23.9,2.5,AF,6.8507476,-5.6294484,2.560333,Marbled Hatchetfish,Common Hatchetfish,Spotfin Hatchetfish,Upside Down Catfish,Rainbow Shiner
Drape Fin Barb,/species-spotlight/drape-fin-barb/,Oreichthyscrenuchoides,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,7.0,5.0,25.0,5.0,AS,-7.4723945,5.5515957,-1.6905808,Panther Danio,Fire Rasbora,Fire Bar Danio,Blue Line Rasbora,Melon Barb
Duplicate Corydoras,/species-spotlight/duplicate-corydoras/,Corydorasduplicareus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,5.5,8.5,23.0,5.0,SA,-12.827532,2.0790224,-1.1328539,Horsemans Corydoras,Sterbas Corydoras,Xingu Corydoras,Sands Corydoras,Skunk Corydoras
Dusky Millions Fish,/species-spotlight/dusky-millions-fish/,Phalloceroscaudimaculatus,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,All Levels,Omnivore,7.0,12.5,20.0,6.0,SA,6.0939803,3.5248551,-1.0036007,Blackfin Pearl Killifish,Merry Widow Livebearer,Red Phantom Tetra,Fire Green Tetra,Toucan Tetra
Dwarf Chain Loach,/species-spotlight/dwarf-chain-loach/,AmbastaiaSidthimunki,Actinopterygii,Cypriniformes,Botiidae,Peaceful,Bottom - Middle,Omnivore,6.75,7.5,25.85,6.0,AS,8.027505,-2.4861834,0.05710139,Lyretail Killifish,Diamond Tetra,Steel Blue Lyretail Killifish,Mamou Killifish,Red Chinned Panchax
Dwarf Ctenopoma,/species-spotlight/dwarf-ctenopoma/,Microctenopomananum,Actinopterygii,Anabantiformes,Anabantidae,Peaceful,Bottom - Middle,Carnivore,6.75,10.0,20.85,7.0,AF,6.883465,-8.525338,-0.82312304,Ornate Ctenopoma,Platinum Medaka Ricefish,Spike Tailed Paradise Fish,Peacock Gudgeon,Congo Ctenopoma
Dwarf Gourami,/species-spotlight/dwarf-gourami/,Trichogasterlalius,Actinopterygii,Anabantiformes,Osphronemidae,Peaceful,Middle - Top,Omnivore,6.75,7.0,25.0,8.0,AS,7.6915874,-7.516629,-1.1093996,Honey Gourami,Emerald Betta,Spotfin Betta,Spike Tailed Paradise Fish,Thick Lipped Gourami
Dwarf Neon Rainbowfish,/species-spotlight/dwarf-neon-rainbowfish/,Melanotaeniapraecox,Actinopterygii,Atheriniformes,Melanotaeniidae,Peaceful,Middle,Omnivore,7.0,10.0,24.15,6.0,OC,3.127722,7.0083137,-1.9221117,Pacific Blue Eye Rainbowfish,Popondetta Blue Eye Rainbowfish,Redfin Dwarf Rainbowfish,Sahul Rainbowfish,Forktail Blue Eye Rainbowfish
Dwarf Pencilfish,/species-spotlight/dwarf-pencilfish/,Nannostomusmarginatus,Actinopterygii,Characiformes,Lebiasinidae,Peaceful,Middle - Top,Omnivore,6.5,6.5,25.0,3.5,SA,13.086645,1.0828935,-1.8141888,Purple Pencilfish,Barred Pencilfish,Cenepa Red Pencilfish,Coral Red Pencilfish,Hockeystick Pencilfish
Dwarf Pufferfish,/species-spotlight/dwarf-pufferfish/,CarinotetraodonTravancoricus,Actinopterygii,Tetraodontiformes,Tetraodontidae,Aggressive,Middle,Omnivore,7.0,15.0,25.0,3.5,AS,6.879992,-9.935221,-0.852507,Daisys Blue Ricefish,Platinum Medaka Ricefish,Congo Ctenopoma,Striped Red Eye Pufferfish,Ornate Ctenopoma
Dwarf Rasbora,/species-spotlight/dwarf-rasbora/,Borarasmaculatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,5.25,3.0,24.5,2.5,AS,-8.823486,6.4430966,-1.8682467,Neon Blue Rasbora,Ruby Rasbora,Chilli Rasbora,Jae Barb,Butterfly Barb
Dwarf Spotted Danio,/species-spotlight/dwarf-spotted-danio/,Danionigrofasciatus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,8.5,25.85,4.0,AS,-6.39356,6.324121,-0.10104411,Exclamation Point Rasbora,Emerald Eye Rasbora,Glowlight Rasbora,Lambchop Rasbora,Volcano Rasbora
Eggers Killifish,/species-spotlight/eggers-killifish/,Nothobranchiuseggersi,Actinopterygii,Cyprinodontiformes,Nothobranchiidae,Peaceful,Top,Omnivore,7.5,12.5,24.45,5.0,AF,8.056169,-3.9894576,-1.7227592,Gabon Killifish,Christys Killifish,Splendid Killifish,Red Chinned Panchax,Mamou Killifish
Eight Banded False Barb,/species-spotlight/eight-banded-false-barb/,Eirmotusoctozona,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.0,7.0,25.0,3.5,AS,-7.417383,6.3699346,-0.5641592,Emerald Eye Rasbora,Panther Danio,Neon Green Rasbora,Fire Rasbora,Siamese Dwarf Rasbora
Eilyos Tetra,/species-spotlight/eilyos-tetra/,Hyphessobryconeilyos,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.5,6.5,25.5,3.0,SA,11.77508,0.11729083,0.64002293,Steel Blue Tetra,Rosy Tetra,Green Neon Tetra,Gold Shoulder Rosy Tetra,Nego Dagua Tetra
El Tigre Endler,/species-spotlight/el-tigre-endler/,Poeciliawingei,Actinopterygii,Cyprinodontiformes,Poeciliidae,Peaceful,All Levels,Omnivore,7.75,25.0,26.5,5.0,SA,2.8343923,3.2624984,0.8784748,Black Bar Endler,Mollies,Swordtail,Platies,Buenos Aires Tetra
Electric Blue Jack Dempsey,/species-spotlight/electric-blue-jack-dempsey/,Rociooctofasciatacf,Actinopterygii,Cichliformes,Cichlidae,Semi-Aggressive,All Levels,Omnivore,6.5,10.0,26.1,20.0,NAM,-2.5159743,-2.6449606,-0.2184095,Discus,Rainbow Cichlid,Flag Cichlid,Convict Cichlid,Spanner Barb
Electric Blue Ram Cichlid,/species-spotlight/electric-blue-ram-cichlid/,Mikrogeophagusramirezi,Actinopterygii,Cichliformes,Cichlidae,Peaceful,Bottom - Middle,Omnivore,6.25,8.5,27.5,10.0,SA,-7.7770376,0.94023895,-1.5748839,German Blue Ram Cichlid,African Butterfly Cichlid,Bolivian Ram Cichlid,Checkerboard Cichlid,Pentazona Barb
Electric Yellow Cichlid,/species-spotlight/electric-yellow-cichlid/,Labidochromiscaeruleus,Actinopterygii,Cichliformes,Cichlidae,Semi-Aggressive,Bottom - Middle,Omnivore,8.0,12.5,25.0,10.0,AF,-6.9541016,-0.4404677,0.93147695,Kribensis Cichlid,Cockatoo Dwarf Cichlid,Giant Danio,Blue Eyed Congo Tetra,African Glass Catfish
Elegant Corydoras,/species-spotlight/elegant-corydoras/,Corydoraselegans,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom - Middle,Omnivore,7.0,13.5,24.15,5.0,SA,-12.409099,-1.8458408,2.2830462,Guapore Corydoras,Agassizs Corydoras,False Network Corydoras,Blacktop Corydoras,Leopard Corydoras
Ember Tetra,/species-spotlight/ember-tetra/,Hyphessobryconamandae,Actinopterygii,Characiformes,Characidae,Peaceful,Bottom - Middle,Omnivore,6.0,11.0,25.85,2.0,SA,8.905557,2.5970678,2.6869278,Black Phantom Tetra,Red Line Tetra,Fire Ant Tetra,Reed Tetra,Flag Tetra
Emerald Betta,/species-spotlight/emerald-betta/,Bettasmaragdina,Actinopterygii,Anabantiformes,Osphronemidae,Semi-Aggressive,Top,Omnivore,6.5,6.0,24.15,7.0,AS,8.0389385,-7.4654617,-0.95503515,Honey Gourami,Dwarf Gourami,Red Skirt Betta,Spotfin Betta,Licorice Gourami
Emerald Brochis Corydoras,/species-spotlight/emerald-brochis-corydoras/,Corydorassplendens,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,8.5,23.9,9.0,SA,-11.310431,0.55468315,-2.3883097,Flagtail Corydoras,Fulleri Corydoras,Green Laser Corydoras,Gold Laser Corydoras,Super Parallelus Corydoras
Emerald Dwarf Danio,/species-spotlight/emerald-dwarf-danio/,Danioerythromicron,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.7,17.5,22.8,4.0,AS,-9.934375,-2.3745942,2.7581637,Graceful Rasbora,Lake Inle Danio,Yellow Tailed Congo Tetra,Fairy Cichlid,Bronze Corydoras Var Longfin
Emerald Eye Rasbora,/species-spotlight/emerald-eye-rasbora/,Breviboradorsiocellata,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.75,7.5,24.0,3.5,AS,-7.3397565,5.9451056,0.016812963,Eight Banded False Barb,Panther Danio,Dwarf Spotted Danio,Strawberry Rasbora,Phoenix Rasbora
Emperor Tetra,/species-spotlight/emperor-tetra/,Nematobryconpalmeri,Actinopterygii,Characiformes,Characidae,Peaceful,Bottom - Middle,Omnivore,6.25,6.0,24.75,4.5,SA,11.730502,-1.243163,1.0179422,Rainbow Tetra,Neon Tetra,Pretty Tetra,Nego Dagua Tetra,Lemon Tetra
Empire Gudgeon,/species-spotlight/empire-gudgeon/,Hypseleotriscompressa,Actinopterygii,Gobiiformes,Eleotridae,Peaceful,Bottom,Omnivore,7.0,13.5,27.5,12.0,OC,5.355061,-8.365659,-0.0649087,Green Spotted Pufferfish,Mottled Ctenopoma,Peacock Gudgeon,Leopard Bush Fish,Tailspot Ctenopoma
Eurasian Minnow,/species-spotlight/eurasian-minnow/,Phoxinusphoxinus,Actinopterygii,Cypriniformes,Leuciscidae,Peaceful,Bottom - Middle,Omnivore,7.25,6.0,15.85,10.0,AS,5.2808084,-7.304209,3.2524848,Red Shiner,Spined Loach,Rainbow Shiner,Golden Mascara Tetra,Schistura Spilota
European Bitterling,/species-spotlight/european-bitterling/,Rhodeusamarus,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom - Middle,Omnivore,7.25,3.0,17.25,10.0,EU,-3.7487304,3.2569304,-1.766645,Chinese Barb,Gold Barb,Glowlight Danio,Tiger Barb,Narayan Barb
Exclamation Mark Tetra,/species-spotlight/exclamation-mark-tetra/,Bryconellapallidifrons,Actinopterygii,Characiformes,Characidae,Peaceful,Middle - Top,Omnivore,6.75,7.5,26.7,3.5,SA,11.319541,0.85924834,0.52304226,Green Neon Tetra,Kitty Tetra,Steel Blue Tetra,Eilyos Tetra,Rosy Tetra
Exclamation Point Rasbora,/species-spotlight/exclamation-point-rasbora/,Borarasurophthalmoides,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Middle - Top,Omnivore,6.5,10.0,26.1,2.0,AS,-6.0917253,6.8573384,0.18354133,Dwarf Spotted Danio,Glowlight Rasbora,Lambchop Rasbora,Indian Hifin Barb,Volcano Rasbora
Fairy Cichlid,/species-spotlight/fairy-cichlid/,Neolamprologusbrichardi,Actinopterygii,Cichliformes,Cichlidae,Semi-Aggressive,All Levels,Omnivore,7.5,20.0,25.0,9.0,AF,-8.119295,-2.1550426,2.3207293,Lemon Cichlid,Golden Mbuna Cichlid,Lake Inle Danio,Graceful Rasbora,Emerald Dwarf Danio
Fairy Corydoras,/species-spotlight/fairy-corydoras/,Corydorasatropersonatus,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,15.0,22.5,5.0,SA,-12.6681385,-3.2551024,1.759158,False Network Corydoras,Agassizs Corydoras,Araguaia Corydoras,False Bandit Corydoras,Vulcan Corydoras
False Armatus Corydoras,/species-spotlight/false-armatus-corydoras/,Corydorassp,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,6.5,8.5,23.05,7.0,SA,-11.895167,1.2485476,-1.557959,Flagtail Corydoras,Sterbas Corydoras,Gold Laser Corydoras,Rusty Corydoras,Armatus Corydoras
False Bandit Corydoras,/species-spotlight/false-bandit-corydoras/,Corydorasmelini,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.15,5.0,SA,-12.938341,-2.1366665,1.594769,Vulcan Corydoras,False Network Corydoras,Agassizs Corydoras,Slant Bar Corydoras,Leopard Corydoras
False Network Corydoras,/species-spotlight/false-network-corydoras/,Corydorassodalis,Actinopterygii,Siluriformes,Callichthyidae,Peaceful,Bottom,Omnivore,7.0,13.5,24.2,5.0,SA,-12.637552,-2.2536874,1.8804537,Agassizs Corydoras,Vulcan Corydoras,False Bandit Corydoras,Elegant Corydoras,Blacktop Corydoras
False Siamese Algae Eater,/species-spotlight/false-siamese-algae-eater/,Garracambodgiensis,Actinopterygii,Cypriniformes,Cyprinidae,Peaceful,Bottom,Omnivore,6.75,9.0,23.35,15.0,AS,-4.4419646,-1.707541,-1.3799742,True Flying Fox,Red Garra,Swamp Barb,Silver Flying Fox,Scissortail Rasbora
